FID,LOCATIONID,NUMSPACES,x,y
271,BF18888,4,-122.658322419537,45.523569066476
272,BF18889,4,-122.657307669117,45.523569143889
273,BF189,10,-122.640443681628,45.522777557793
274,BF18905,0,-122.637091874165,45.5235676749303
275,BF18997,0,-122.660208545663,45.5244174900614
276,BF190,0,-122.63752855331,45.5227881056173
277,BF19003,0,-122.653063992681,45.5243886387315
278,BF19077,0,-122.658469199763,45.5242903929255
279,BF19081,4,-122.653853018029,45.5242796099999
280,BF19084,0,-122.64873548384,45.5242549847936
281,BF191,4,-122.636949720263,45.5227860462773
282,BF1914,0,-122.688024923352,45.5774761153208
283,BF19159,8,-122.66103086078,45.5718558622996
284,BF19183,2,-122.66117971252,45.571724549142
285,BF19332,0,-122.66093900355,45.5616973955533
286,BF19552,0,-122.636942488825,45.5249970511236
287,BF19600,2,-122.661396908088,45.5508488904594
288,BF19652,12,-122.666549703847,45.5507535474792
289,BF19770,4,-122.654351720454,45.5258208104013
290,BF19779,2,-122.637294820656,45.5259116725456
291,BF19780,2,-122.637087482302,45.5258091133253
292,BF19838,2,-122.645680044963,45.5256687526286
293,BF28920,10,-122.680553655795,45.5244699834329
294,BF19845,6,-122.637013685701,45.5256962306895
295,BF28921,0,-122.682031469778,45.5244409735302
296,BF19939,4,-122.666416520521,45.5483185213275
297,BF19943,2,-122.661807481292,45.5483353125516
298,BF28922,4,-122.682514594517,45.5244346717068
299,BF19951,2,-122.654167442751,45.548317214064
300,BF28924,2,-122.684567913288,45.5243966297748
301,BF19953,2,-122.652560939715,45.5483032657244
302,BF28997,2,-122.67084888449,45.5249474425939
303,BF19954,0,-122.651664778591,45.5483003404227
304,BF19978,24,-122.621476871908,45.5484044691159
305,BF29000,6,-122.673939777177,45.5251918590869
306,BF20000,4,-122.589548248496,45.5482780647173
307,BF29001,2,-122.674631773694,45.5251998865186
308,BF29002,0,-122.675887543003,45.52515577937
309,BF29009,0,-122.682691440457,45.5250299287712
310,BF29011,0,-122.684735459868,45.5249892080648
311,BF29031,0,-122.672931301489,45.5253241602048
312,BF29032,6,-122.673853968304,45.5253065609398
313,BF29034,0,-122.676168786654,45.5252654628207
314,BF29036,0,-122.678042704676,45.5252309741612
315,BF29038,0,-122.680045274921,45.525194338119
316,BF29039,0,-122.680744783152,45.5251802581715
317,BF29040,0,-122.681638933846,45.5251643858145
318,BF29042,8,-122.683749878644,45.5251242265914
319,BF29044,4,-122.685841876176,45.5250935536359
320,BF29052,0,-122.689705708978,45.5250310452515
321,BF29054,0,-122.694087174402,45.5249405416779
322,BF29075,4,-122.67400879474,45.5259054797641
323,BF29076,2,-122.674991115079,45.5258854639848
324,BF29077,4,-122.676271246699,45.525855430233
325,BF29078,0,-122.676957784155,45.525852745433
326,BF29079,6,-122.678095817567,45.5258256633089
327,BF2908,12,-122.700077894404,45.5823327684437
328,BF29081,2,-122.680007011182,45.5257918723116
329,BF29082,5,-122.680640920837,45.5257781581655
330,BF29086,6,-122.684960333337,45.5257037942183
331,BF29090,8,-122.689894083896,45.525613002855
332,BF29095,0,-122.699098673252,45.5254440828999
333,BF29098,4,-122.674008704908,45.5260189932145
